ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
   6266, 208586, 783115, 216885, 206511, 792211, 207789, 510375, 454520,   6266,Allendale
   9437, 524848, 468793, 531207, 530571, 467627, 532373, 471385, 505830,   9437,McCormick
  11082, 331528, 662154, 337846, 323046, 671088, 328912, 542410, 455330,  11082,Bamberg
  13762, 494768, 497747, 502253, 486339, 504287, 495713, 542145, 467300,  13762,Calhoun
  14607, 651263, 339700, 660300, 653385, 337646, 662354, 489390, 510270,  14607,Saluda
  15169, 338519, 653899, 346101, 337794, 658052, 341948, 503625, 479235,  15169,Lee
  15413, 387140, 606436, 393564, 374748, 617011, 382989, 561960, 447125,  15413,Hampton
  17397, 531873, 460194, 539806, 525550, 465137, 534863, 531615, 475285,  17397,Barnwell
  17947, 397615, 594026, 405974, 394829, 598372, 401628, 513930, 478270,  17947,Marlboro
  18991, 360749, 630983, 369017, 362750, 631351, 368649, 489995, 498160,  18991,Fairfield
  18998, 596010, 394778, 605222, 587903, 399989, 600011, 540535, 473945,  18998,Union
  19919, 646166, 346402, 653598, 646970, 345599, 654401, 495980, 504015,  19919,Abbeville
  20713, 475981, 516728, 483272, 472167, 519818, 480182, 519070, 484550,  20713,Dillon
  22290, 605787, 384522, 615478, 606864, 385778, 614222, 494615, 493720,  22290,Edgefield
  23370, 477706, 515233, 484767, 474326, 516388, 483612, 516900, 494225,  23370,Jasper
  23858, 565973, 424805, 575195, 560189, 429834, 570166, 528920, 474855,  23858,Chester
  24568, 368568, 624959, 375041, 372883, 623046, 376954, 478425, 509565,  24568,Marion
  27741, 340759, 651706, 348294, 334883, 659961, 340039, 529380, 458725,  27741,Williamsburg
  28762, 472185, 522286, 477714, 463980, 528475, 471525, 541025, 469055,  28762,Clarendon
  29228, 597338, 392979, 607021, 601512, 389489, 610511, 479130, 517450,  29228,Newberry
  31057, 576102, 417941, 582059, 571916, 421386, 578614, 520930, 482775,  31057,Chesterfield
  31988, 541327, 448449, 551551, 530448, 456452, 543548, 554395, 459985,  31988,Colleton
  44146, 725388, 267204, 732796, 721152, 269605, 730395, 521180, 487995,  44146,Cherokee
  50022, 611550, 377853, 622147, 617248, 374095, 625905, 471510, 518790,  50022,Greenwood
  51875, 658891, 332761, 667239, 660530, 331624, 668376, 491805, 505685,  51875,Laurens
  53629, 504596, 487255, 512745, 507337, 486993, 513007, 486295, 501310,  53629,Darlington
  54757, 610022, 379293, 620707, 613437, 376664, 623336, 482925, 513145,  54757,Kershaw
  61079, 573503, 419227, 580773, 583817, 411319, 588681, 448430, 539540,  61079,Georgetown
  67186, 759369, 230360, 769640, 767109, 224213, 775787, 461300, 530735,  67186,Oconee
  74206, 312360, 682316, 317684, 306430, 688650, 311350, 529650, 468330,  74206,Orangeburg
  82581, 625277, 365423, 634577, 627941, 364272, 635728, 486680, 505755,  82581,Lancaster
  82723, 412521, 578980, 421020, 413089, 580237, 419763, 497160, 493715,  82723,Sumter
  95540, 771111, 215815, 784185, 778668, 211586, 788414, 462215, 521145,  95540,Pickens
 109036, 504558, 487123, 512877, 510501, 485252, 514748, 470285, 509355, 109036,Florence
 125386, 554982, 429242, 570758, 546121, 442768, 557232, 544305, 432370, 125386,Dorchester
 144419, 620437, 367534, 632466, 621240, 366309, 633691, 495985, 506125, 144419,Aiken
 157662, 572718, 417900, 582100, 571380, 423703, 576297, 506690, 470985, 157662,Beaufort
 162805, 721249, 268192, 731808, 727330, 264635, 735365, 469595, 517785, 162805,Anderson
 171419, 565159, 421131, 578869, 557196, 432939, 567061, 539815, 440960, 171419,Berkeley
 232577, 660684, 326089, 673911, 658925, 326451, 673549, 508795, 498190, 232577,Lexington
 235778, 597562, 390265, 609735, 602867, 388199, 611801, 473475, 510330, 235778,York
 253206, 642654, 346350, 653650, 640822, 345532, 654468, 509160, 504090, 253206,Spartanburg
 309232, 287276, 700642, 299358, 290251, 700014, 299986, 485125, 503140, 309232,Richland
 309640, 685615, 306746, 693254, 691167, 300955, 699045, 472240, 528955, 309640,Horry
 334954, 446338, 539142, 460858, 445102, 548346, 451654, 506180, 453980, 334954,Charleston
 420893, 606279, 379036, 620964, 614431, 373515, 626485, 459240, 527605, 420893,Greenville
